Id,SalePrice
1,152000
2,185000
3,101800
4,90000
5,94550
6,211000
7,286000
8,140000
9,129000
10,293200
11,93500
12,315000
13,175000
14,224243
15,125000
16,139000
17,131000
18,375000
19,115000
20,157000
21,103500
22,142500
23,158000
24,198500
25,89000
26,155900
27,296000
28,169990
29,129000
30,220000
31,230000
32,128500
33,166000
34,100000
35,187000
36,226000
37,188700
38,176400
39,121500
40,245500
41,195000
42,281213
43,131000
44,181134
45,154000
46,157500
47,119000
48,138887
49,254000
50,230000
51,97500
52,253000
53,169000
54,175000
55,141000
56,127000
57,115000
58,185000
59,137000
60,177500
61,220000
62,250000
63,147500
64,143500
65,63000
66,128200
67,258000
68,99500
69,140000
70,130000
71,129000
72,267300
73,157500
74,130000
75,184000
76,131750
77,192000
78,224500
79,198000
80,144000
81,135000
82,157500
83,110000
84,181000
85,160000
86,297000
87,181000
88,227875
89,128900
90,135000
91,191000
92,236000
93,119000
94,153000
95,210000
96,103200
97,377500
98,144800
99,155000
100,201000
101,135000
102,117000
103,168500
104,133000
105,179900
106,178000
107,167300
108,175000
109,145000
110,269500
111,175000
112,127500
113,88000
114,89000
115,52000
116,210000
117,126000
118,120000
119,133000
120,156000
121,318000
122,113000
123,281500
124,177500
125,244400
126,115000
127,108000
128,141000
129,148000
130,325300
131,180000
132,260000
133,134900
134,62383
135,136000
136,270000
137,178750
138,61000
139,260000
140,188000
141,99000
142,146000
143,170000
144,80000
145,325000
146,262500
147,132500
148,192000
149,148400
150,275000
151,150000
152,187000
153,140000
154,227000
155,250000
156,140000
157,122000
158,146000
159,87550
160,133500
161,129500
162,392000
163,107000
164,322500
165,190000
166,320000
167,86000
168,91500
169,220000
170,168500
171,173000
172,130000
173,64000
174,300000
175,257500
176,189000
177,255000
178,102900
179,238500
180,35311
181,277000
182,232698
183,145000
184,143000
185,108000
186,65000
187,150000
188,217500
189,229000
190,194500
191,207500
192,120750
193,159900
194,310000
195,153575
196,335000
197,137000
198,220000
199,158500
200,148000
201,333168
202,124500
203,185000
204,172000
205,205000
206,176500
207,155000
208,120000
209,319900
210,168000
211,315000
212,148800
213,112000
214,176000
215,176000
216,475000
217,213000
218,188000
219,140000
220,142000
221,126000
222,155000
223,144000
224,203000
225,143500
226,96000
227,174000
228,205950
229,230500
230,264966
231,119000
232,171925
233,194201
234,163000
235,98600
236,203135
237,240000
238,186000
239,144152
240,200000
241,123000
242,200000
243,137500
244,172500
245,278000
246,110500
247,187000
248,375000
249,213500
250,264561
251,136500
252,78000
253,119500
254,114000
255,250000
256,94500
257,130000
258,332200
259,159000
260,317000
261,256000
262,128500
263,116050
264,184900
265,146000
266,199900
267,250000
268,111250
269,140000
270,139600
271,134500
272,116000
273,127500
274,183500
275,274725
276,250764
277,110000
278,213000
279,204750
280,143195
281,180500
282,98000
283,207000
284,170000
285,167000
286,118000
287,167240
288,160000
289,207500
290,340000
291,465000
292,166500
293,157000
294,145000
295,143000
296,183500
297,162500
298,178740
299,117500
300,155000
301,275000
302,200624
303,173000
304,125000
305,257076
306,158500
307,290000
308,162900
309,127500
310,163000
311,148000
312,199000
313,139000
314,138000
315,147000
316,187687
317,240000
318,345000
319,160000
320,118000
321,318000
322,100500
323,138000
324,180000
325,110000
326,226000
327,71000
328,151000
329,179665
330,104900
331,99900
332,200500
333,157500
334,145000
335,332000
336,345000
337,52500
338,150900
339,132000
340,87000
341,125200
342,105000
343,171000
344,115000
345,185000
346,141000
347,122000
348,123000
349,113500
350,140500
351,140200
352,106500
353,235000
354,246578
355,176000
356,169000
357,123000
358,215000
359,81300
360,198000
361,127000
362,128000
363,108000
364,90350
365,240050
366,116900
367,121500
368,127500
369,178000
370,134500
371,110000
372,160000
373,141000
374,97900
375,181755
376,215000
377,170000
378,72000
379,189500
380,207000
381,140000
382,231713
383,225000
384,139000
385,113000
386,132000
387,132500
388,110000
389,217000
390,139500
391,292500
392,160000
393,252000
394,79275
395,209500
396,316600
397,107400
398,138500
399,125000
400,103000
401,309000
